title	title_akas	release_year
el pianista	Le pianiste	2002
Persepolis		2007
Fantastic Mr Fox		2009
Omoide no Mani		2014
Toy Story		1995
Toy Story 2		1999
Avatar		2009
Clouds of Sils Maria		2014
The Twin	Le jumeau	2017
The Second Jungle Book - Mowgli and Baloo	Les nouvelles aventures de Mowgli	1997
Young Sherlock Holmes	Le secret de la pyramide	1984
Planet 51	Planète 51	2009
3 Ninjas	Ninja kids	1992
Rubinrot	Rouge rubis	2013
Les misérables	Testigo de excepción	1995
Il capitale umano	El capital humano	2014
Foenix	Phoenix	2014
